Product Brand Name,Product Name,Product Quantity,Product Offered Price,Product Original Price,Product Sale Price,Product Discount
Colgate,"Kids Toothpaste - 3-5 years, Natural Strawberry Flavour, 0% Artificial",80 g - Tube,₹203.15,₹239,No Product Sale Price,15% OFF
Figaro,Olive Oil,2 l - Tin,₹2728.99,₹3999,No Product Sale Price,32% OFF
Pampers,Diaper Pants -Extra Large 168  / 136,1 pcs,₹2882,₹3999,Flash Sale!,28% OFF
Pampers,"All-Round Protection Diaper Pants - XXL, 15-25 kg, Ultra Absorb Core, Leakage Prevention for upto 12 Hours",42 pcs,₹947,₹1399,Get it for ₹899.65!,32% OFF
Himalaya,"Gentle Baby Shampoo - Mild, No Tears, Paraben Free",200 ml,₹192.7,₹205,Har Din Sasta!,₹12 OFF
Himalaya,"Gentle Baby Soap - With Oils Of Olive & Almond, For Daily Use",75 g,₹51.7,₹55,Har Din Sasta!,6% OFF
Pampers,Premium Care Diapers - Large,2x44 pcs - Multipack,₹1824,₹2798,No Product Sale Price,35% OFF
Pampers,"Baby Diaper - Pants, Large, 9-14 kg, Soft Cotton, Soaks up to 12 Hours",2x64 pcs - (Multipack),₹1818,₹2798,No Product Sale Price,35% OFF
Pampers,"Premium Care Diaper Pants - XL, 12-17 kg, Lotion with Aloe Vera",72 pcs,₹1768,₹2798,Har Din Sasta!,37% OFF
Pampers,Active Baby Diapers - Medium,2x90 pcs - (Multipack),₹3364.02,₹3398,No Product Sale Price,₹34 OFF
Pampers,"Active Baby Tape Style Diapers - Cotton-Like Softness, Protects From Rashes, XL",2x56 pcs - (Multipack),₹3364.02,₹3398,No Product Sale Price,₹34 OFF
Sebamed,Sebamed Baby Body Lotion |Ph 5.5|Camomile & Allantoin| Dermatalogically tested| Sensitive skin,400 ml,₹1360,No Product Price,Get it for ₹1292!,No Discount
Sebamed,Sebamed Baby Cleansing Bar |Ph 5.5 | With Panthenol|No tears & Soap Free bar| For Delicate skin,150 g,₹430,No Product Price,No Product Sale Price,No Discount
Johnson's baby,No More Tears Baby Shampoo,2x500 ml - (Multipack),₹901.6,₹980,No Product Sale Price,₹78 OFF
Sebamed,Sebamed Baby Shampoo |Ph 5.5| Camomile|Natural moisturisers|No tears formula|For delicate scalp,500 ml,₹1060,No Product Price,Get it for ₹1007!,No Discount
Himalaya,"Baby Lotion - With Almond Oil & Olive Oil, Paraben Free",100 ml - Bottle,₹103.4,₹110,Har Din Sasta!,₹7 OFF
Pampers,Diaper Pants - Medium,2x76 pcs - Multipack,₹1902,₹2798,No Product Sale Price,32% OFF
Pampers,Premium Care Diapers - XXL,2x30 pcs - Multipack,₹2018,₹2798,No Product Sale Price,28% OFF
Pampers,Baby Wipes - With Aloe,72 pcs - (Pack of 2),₹387.5,₹598,Har Din Sasta!,35% OFF
Huggies,"Wonder Diaper Pants - Xtra Large, 12-17 Kg",2x56 pcs - Multipack,₹1735,₹2798,No Product Sale Price,38% OFF
Himalaya,Gentle Baby Wipes - With Aloe & Indian Lotus,72 pcs - (Pack of 4),₹629.1,₹699,Get it for ₹597.65!,₹70 OFF
Cetaphil,Baby Daily Lotion,400 ml,₹731.4,₹795,Get it for ₹694.83!,₹64 OFF
Pampers,"Active Baby Diapers - Small, 3-8 kg, Extra Dry Layer",92 pcs,₹1425,₹1549,Get it for ₹1353.75!,₹124 OFF
Johnson's baby,Baby Lotion,500 ml,₹361.9,₹385,No Product Sale Price,₹23 OFF
Himalaya,Baby Powder - Paraben Free,50 g,₹51.7,₹55,Har Din Sasta!,6% OFF
Johnson's baby,Baby Wash Top-To-Toe,2x500 ml - (Multipack),₹720,₹800,No Product Sale Price,₹80 OFF
Pampers,"Premium Care Diaper Pants-M, 7-12kg, Cotton-Like Softness, Lotion with Aloe Vera",2x54 pcs - Multipack,₹1835,₹2798,No Product Sale Price,34% OFF
Chicco,"Baby Moments - Gentle Body Wash & Shampoo, Oats Extract & Apricot, For Rich Moisturised Skin & Soft Hair",500 ml,₹539.1,₹599,Get it for ₹512.15!,₹60 OFF
Pampers,"All-Round Protection Diaper Pants - Extra Large, 12-17 kg, Anti-Rash, Ultra Absorb, Leakage Prevention for upto 12 Hours",112 pcs,₹2406.28,₹2798,Get it for ₹2285.97!,14% OFF
Cetaphil,"Baby Mild Bar - With Shea Butter, Olive & Avocado Oil, For Soft & Moisturised Skin",75 g,₹200.56,₹218,Get it for ₹190.53!,₹17 OFF
Horlicks,"Mother's Plus, Vanilla",400 g - Carton,₹582.8,₹620,Har Din Sasta!,₹37 OFF
Sebamed,Sebamed Baby Gentle Wash |Ph 5.5| With Allantoin| No tears  formula |Clinically tested,400 ml,₹910,No Product Price,Get it for ₹864.50!,No Discount
Pampers,"Active Baby Tape Style Diapers - Cotton-Like Softness, Protects From Rashes, L",2x78 pcs - (Multipack),₹3498,No Product Price,No Product Sale Price,No Discount
Sebamed,Baby Cream - Extra Soft,200 ml,₹730,No Product Price,Get it for ₹693.50!,No Discount
Himalaya,"Extra Moisturizing Baby Wash - Paraben Free, No Tears Formula",400 ml,₹275.5,₹290,Get it for ₹261.73!,₹15 OFF
Baby Dove,Rich Moisture Hair-To-Toe Baby Wash,2x400 ml - (Multipack),₹680,₹800,No Product Sale Price,15% OFF
Cetaphil,Baby Gentle Wash & Shampoo,230 ml,₹639.4,₹695,Get it for ₹607.43!,₹56 OFF
Johnson's baby,Baby Oil With Vitamin E,100 ml,₹131.6,₹140,Har Din Sasta!,₹8 OFF
Himalaya,"Baby Cream - Extra Soft & Gentle, Paraben Free",100 ml - Tube,₹166.25,₹175,No Product Sale Price,₹9 OFF
Huggies,"Wonder Diaper Pants - Large, 9-14 Kg",2x64 pcs - Multipack,₹2068.2,₹2298,No Product Sale Price,₹230 OFF
Himalaya,"Total Care Baby Diaper Pants - Extra Large, 12-17 kg, With Anti-Rash Shield",54 pcs,₹777,₹1060,Har Din Sasta!,27% OFF
Bella,Bella Cotton Buds Box Paper Stick,200 pcs - Box,₹160.55,₹169,Get it for ₹152.52!,₹8 OFF
Bigbasket,"Baby Wipes - Fresh, No Paraben, Double Moisturizing",4x80 pcs - (Multipack),₹420,₹796,No Product Sale Price,47% OFF
Mamaearth,Deeply Nourishing Baby Wash,400 ml,₹371.07,₹399,Get it for ₹352.52!,₹28 OFF
Himalaya,Germ Free Baby Laundry Wash - 99.99% Germ Protection,1 L - Bottle,₹420.75,₹495,No Product Sale Price,15% OFF
Chicco,"Baby Moments - Body Lotion, Almond Milk, Murumuru Butter, For Hydrating Skin & Easy Absorption",500 ml,₹539.1,₹599,Get it for ₹512.15!,₹60 OFF
Johnson's baby,Baby Skincare Wipes - Super Saver Pack,72 pcs - (Rs. 60 Off on Pack of 2),₹479.4,₹510,Get it for ₹455.43!,₹31 OFF
Himalaya Baby,Baby Powder,400 g,₹275.5,₹290,Get it for ₹261.73!,₹15 OFF
Johnson's baby,Baby Powder - Blossoms Natural,100 g,₹112.8,₹120,Har Din Sasta!,₹7 OFF
Himalaya,"Total Care Baby Diaper Pants - Large, 8-14 kg, With Anti-Rash Shield",54 pcs,₹681.5,₹1099,Har Din Sasta!,38% OFF
Mamaearth,Berry Blast Toothpaste For Kids,2x50 g - Multipack,₹283.1,₹298,No Product Sale Price,₹15 OFF
