Product Brand Name,Product Name,Product Quantity,Product Offered Price,Product Original Price,Product Sale Price,Product Discount
Emperia,Kadak Tea,500 g,₹209,₹285,No Product Sale Price,27% OFF
Red Label,Tea,2x1 kg - Multipack,₹1038,₹1200,No Product Sale Price,14% OFF
Emperia,"Green Tea - With Plain, Tulsi, Lemon & Honey, Travel Pack",6.7 g - (5 Tea Bags x 1.34 g Each),₹19,₹40,Get it for ₹18.05!,53% OFF
Red Label,Tea - Natural Care,2x1 kg - Multipack,₹1058,₹1200,No Product Sale Price,12% OFF
Taj Mahal,Tea,2x1 kg - Multipack,₹1200,₹1300,No Product Sale Price,₹100 OFF
Bisleri,Mineral Water,2 L - Pack of 9,₹253.8,₹270,Har Din Sasta!,₹16 OFF
IndiSecrets,Assorted Tulsi Infusions With 4 Exotic Flavours,8.5 g - (5 N x 1.7 g),₹69,₹80,No Product Sale Price,14% OFF
Nescafe,Sunrise Instant Coffee - Chicory Mix,100 g - Pouch,₹220,₹235,No Product Sale Price,₹15 OFF
BRU,"Instant Coffee - Chicory Mix, Fresh, Aromatic, No Preservatives",500 g,₹705,₹750,Har Din Sasta!,₹45 OFF
Emperia,Masters Blend Tea- Rich Taste,500 g,₹309,₹375,No Product Sale Price,18% OFF
Tata Tea Gold,Tea,100 g,₹35.55,₹45,No Product Sale Price,21% OFF
Cadbury Bournvita,Chocolate Health Drink,1 KG - (Pack of 2 x 1 kg),₹580.15,₹730,No Product Sale Price,21% OFF
BRU,Filter Coffee - Green Label,2x500 g - Multipack,₹517.94,₹580,No Product Sale Price,11% OFF
Boost,Energy & Nutrition Drink,500 g,₹230.3,₹245,Har Din Sasta!,₹15 OFF
Emperia,Premium Tea With 20% Extra Long Leaf,500 g,₹235,₹283,No Product Sale Price,17% OFF
Horlicks,Health Drink - Original,2x900 g - Multipack,₹844.12,₹898,No Product Sale Price,₹54 OFF
Wagh Bakri,Premium Leaf Tea,500 g - Pouch,₹272.6,₹290,Har Din Sasta!,₹17 OFF
Tata Tea Kanan Devan,Tea,500 g,₹156.75,₹165,No Product Sale Price,₹8 OFF
3 Roses,Tea,50 g,₹37.6,₹40,Har Din Sasta!,6% OFF
Cothas Coffee,Coffee Powder Extra Strong,500 g - Pouch,₹275,No Product Price,Get it for ₹261.25!,No Discount
Kinley,Mineral Water,1 L - Pack of 15,₹282,₹300,Har Din Sasta!,₹18 OFF
Nescafe,Classic 100% Pure Instant Coffee,2x500 g - (Multipack),₹2622.6,₹2790,No Product Sale Price,₹167 OFF
Bayars,Premium Filter Coffee - 80 Degree,200 g - Pouch,₹118,₹130,No Product Sale Price,₹12 OFF
Tata Tea Premium,Tea,1. 5 kg,₹578.1,₹705,No Product Sale Price,18% OFF
Maaza,Mango Drink,12x1.2 L - Multipack,₹636,₹720,No Product Sale Price,12% OFF
Bayars,Coffee - Special Gold,500 g,₹270,No Product Price,Get it for ₹256.50!,No Discount
Raw Pressery,Cold Extracted Juice - Valencia Orange,3x1 L - Multipack,₹897.75,₹1050,No Product Sale Price,15% OFF
Coca Cola,Soft Drink,2x2 L - Multipack,₹134,₹160,No Product Sale Price,16% OFF
Tata Tea Gold Care,Goodness Of 5 Natural Flavours,500 g,₹247.8,₹295,No Product Sale Price,16% OFF
Coca Cola,"Soft Drink - Zero Sugar, No Calories",750 ml - Pet Bottle,₹34,₹40,No Product Sale Price,15% OFF
Tata Coffee,Grand Filter Coffee,500 g,₹229.6,₹280,Get it for ₹218.12!,18% OFF
Nescafe,Blend Instant Coffee Powder - Festive Edition- Rich & Smooth,2x185 g - Multipack,₹1980,No Product Price,No Product Sale Price,No Discount
Thums Up,Soft Drink,6 x 250 ml - (Multipack),₹102,₹120,No Product Sale Price,15% OFF
Pediasure,Health Drink Chocolate,2x1 kg - Multipack,₹2775.5,₹3050,No Product Sale Price,₹275 OFF
Sprite,Soft Drink - Lime Flavoured,24x750 ml - Multipack,₹816,₹912,No Product Sale Price,11% OFF
Lipton,Green Tea - Honey Lemon,2x100 pcs - Multipack,₹1125,₹1250,No Product Sale Price,₹125 OFF
Pediasure,7+ Specialized Nutrition Drink Powder With Oats & Almonds - Chocolate Flavour,2 x 400 g - Multipack,₹1180.8,₹1230,No Product Sale Price,₹49 OFF
Real,"Fruit Juice - Cranberry, Rich In Vitamin C",6 x 1 L - Multipack,₹708,₹780,No Product Sale Price,₹72 OFF
Ensure,"Complete Balanced Nutrition Drink - For Adults, Vanilla Flavour, With HMB & 32 Nutrients",1 kg,₹1183,₹1300,Get it for ₹1123.85!,₹117 OFF
Manna,"Health Mix - 100% Natural Nutrition, No Added Sugar, Preservative Free",250 g - Carton,₹199.2,₹249,No Product Sale Price,20% OFF
Ensure,"Diabetes Care Nutrition Drink - Helps Control Blood Sugar Levels, Vanilla Flavour",1 kg - Box,₹1455.15,₹1635,Get it for ₹1382.39!,11% OFF
LEVISTA,Strong Coffee,50 g - Pouch,₹80,₹160,No Product Sale Price,50% OFF
Schweppes,Soda - Original Ginger Ale,6x300 ml - Multipack,₹324,₹360,No Product Sale Price,₹36 OFF
Horlicks,Health & Nutrition Drink,2 Kg - Plastic Container,₹1000,₹1150,Har Din Sasta!,13% OFF
Womens Horlicks,"Women's Plus, Caramel",750 g,₹545.09,₹599,Get it for ₹517.84!,₹54 OFF
Tropicana,"Fruit Juice - Delight, Orange",12x200 ml - Multipack,₹225.6,₹240,No Product Sale Price,₹14 OFF
Storia,100% Tender Coconut Water - No Added Sugar,2 x 1 L - (Multipack),₹193.7,₹298,No Product Sale Price,35% OFF
Tata Coffee,"Grand Classic Instant Coffee - Flavour Locked Decoction Crystals, Strong Taste & Rich Aroma",200 g - Pouch,₹414,₹460,No Product Sale Price,₹46 OFF
Horlicks,Health & Nutrition Drink - Chocolate,1 Kg - Pouch,₹399,₹499,Har Din Sasta!,20% OFF
Schweppes,Indian Tonic Water,6x300 ml - Multipack,₹264,₹300,No Product Sale Price,12% OFF
Horlicks,"Junior - Health Drink, Vanilla - Specialized Nutrition For Kids",1 Kg,₹450,₹570,Har Din Sasta!,21% OFF
Tropicana,"Fruit Juice - Delight, Litchi",12x200 ml - Multipack,₹225.6,₹240,No Product Sale Price,₹14 OFF
Minute Maid,Fruit Drink - Pulpy Orange,2x1 L - Multipack,₹122,₹180,No Product Sale Price,32% OFF
Horlicks,"Diabetes Plus - Helps Manage Blood Sugar, Vanilla",400 g - Cartoon,₹711,₹790,No Product Sale Price,₹79 OFF
Lipton,Darjeeling Tea,500 g,₹873,₹970,No Product Sale Price,₹97 OFF
Tata Tea Agni,"Special Blend Tea - 10% Extra Strong Leaves, Perfect Aroma & Taste",100 g - Pack,₹18.8,₹20,Har Din Sasta!,6% OFF
Boost,"Nutrition Drink - Health, Energy & Sports",200 g - Jar,₹103.4,₹110,Har Din Sasta!,₹7 OFF
Real Activ,100 % Apple Juice - With No Added Sugar and Preservative,3x1 L - Multipack,₹311.55,₹465,No Product Sale Price,33% OFF
Tropicana,"Fruit Juice - Delight, Apple",3x1 L - Multipack,₹339,No Product Price,No Product Sale Price,No Discount
Tropicana,100% Orange Juice,3x1 L - Multipack,₹435,No Product Price,No Product Sale Price,No Discount
