Product Brand Name,Product Name,Product Quantity,Product Offered Price,Product Original Price,Product Sale Price,Product Discount
Fresho,"Farm Eggs - Table Tray, Medium, Antibiotic Residue-Free",3 x 12 pcs - Multipack,₹345,₹450,No Product Sale Price,23% OFF
Fresho,"Chicken - Curry Cut Without Skin, Antibiotic Residue Free, 12-16 Pcs",500 g,₹120,₹224.75,Get it for ₹114!,47% OFF
Fresho,Eggs - Regular,5x6 pcs - Multipack,₹274.4,₹325,No Product Sale Price,16% OFF
Fresho,"Chicken Breast - Boneless, Antibiotic Residue-Free, 2- 4 pcs",500 g,₹185,₹324,Get it for ₹175.75!,43% OFF
ABHI EGGS,"Nutri+ with Immunity Boosters, 100% antibiotic free",24 Pcs,₹291.4,₹310,Get it for ₹276.83!,₹19 OFF
Fresho,Rohu Fish Curry Cut/Bengali Cut,500 g - With Head,₹149,₹240,No Product Sale Price,38% OFF
Prasuma,"Chicken - Momos, Original",2 x 24 pcs - Multipack,₹585,₹650,No Product Sale Price,₹65 OFF
Fresho,Catla Fish Curry Cut/Bengali Cut,1 kg - With Head,₹349,₹550,No Product Sale Price,37% OFF
ABHI EGGS,"Vitamin D3 with Immunity Boosters, 100% antibiotic free",24 Pcs,₹329,₹350,Get it for ₹312.55!,₹21 OFF
Keventer,Italian Sausage,500 g,₹243.75,₹325,Get it for ₹231.56!,25% OFF
Prasuma,"Chicken - Momos, Spicy",2 x 24 pcs - Multipack,₹572,₹650,No Product Sale Price,12% OFF
Ocean Secret,Tuna Chunks in - Olive Oil,180 g,₹180,No Product Price,Get it for ₹171!,No Discount
Meatzza,Fresh Boneless Chicken Breast,500 g,₹240,No Product Price,Get it for ₹228!,No Discount
Meatzza,Chicken - Seekh Kebab Hot & Spicy,500 g,₹284.75,₹335,Get it for ₹270.51!,15% OFF
Meatzza,Chicken - Sausage,500 g,₹255,₹300,Get it for ₹242.25!,15% OFF
Meatzza,Zing Boneless Chicken Breast Strips,500 g,₹342,₹380,Get it for ₹324.90!,₹38 OFF
Meatzza,Chicken Chapli Kebab,500 g,₹292.5,₹325,Get it for ₹277.88!,₹33 OFF
Keventer,Salami Bell Pepper,250 g,₹130.65,₹195,No Product Sale Price,33% OFF
Meatzza,Chicken - Meatball,500 g,₹325,No Product Price,Get it for ₹308.75!,No Discount
Meatzza,Chicken - Popcorn,500 g,₹301.5,₹335,Get it for ₹286.43!,₹34 OFF
Meatzza,Chicken - Nuggets,500 g,₹314.5,₹370,Get it for ₹298.78!,15% OFF
Meatzza,Fresh Chicken Mince,500 g,₹260,No Product Price,Get it for ₹247!,No Discount
Blue Flame,"Chicken Black Pepper Sausages - Halal, Rich In Iron, Easy To Make",300 g - (10 pcs),₹178.5,₹210,Get it for ₹169.58!,15% OFF
Meatzza,Chicken - Malai Seekh Kebab,500 g,₹375,No Product Price,Get it for ₹356.25!,No Discount
Fresho,Frozen Prawns - Medium,250 g - Pouch,₹315,₹350,Get it for ₹299.25!,₹35 OFF
Blue Flame,Chicken Reshmi Kebab,240 g,₹199,No Product Price,Get it for ₹189.05!,No Discount
ABHI EGGS,"D.O.S.E with Immunity Boosters, 100% antibiotic free",24 Pcs,₹460.6,₹490,No Product Sale Price,₹29 OFF
Meatzza,Chicken Seekh Kebab - Heat & Eat,500 g,₹300,No Product Price,Get it for ₹285!,No Discount
Prasuma,Chicken Sausage - Beechwood Smoked,250 g,₹178.6,₹190,Get it for ₹169.67!,₹11 OFF
Prasuma,Chicken Breakfast Bacon - Beechwood Smoked,200 g,₹304,₹320,Get it for ₹288.80!,₹16 OFF
Blue Flame,Chicken - Spring Roll,280 g,₹230,No Product Price,Get it for ₹218.50!,No Discount
Meatzza,Chicken Burger Patty - Classic,500 g,₹288,₹320,Get it for ₹273.60!,₹32 OFF
Meatzza,Chicken - Seekh Kebab,1 kg,₹603,₹670,Get it for ₹572.85!,₹67 OFF
Prasuma,Chicken Ham - Beechwood Smoked,200 g,₹171,₹180,No Product Sale Price,₹9 OFF
Fresho,Frozen Basa Fillet,500 g - Pouch,₹315,₹350,Get it for ₹299.25!,₹35 OFF
Blue Flame,Chicken Shami Kebab,240 g,₹169.15,₹199,Get it for ₹160.69!,15% OFF
HonestO Eggs,Eggs - No Antibiotics & 100% Veg Feed,30 pcs,₹329,No Product Price,Get it for ₹312.55!,No Discount
Fresho,"Dry Fish Prawn - Small, Cut & Cleaned, For Making Curries, Snacks etc",80 g,₹112.8,₹120,Get it for ₹107.16!,₹7 OFF
Fresho,"Dry Fish Nethli- Small, Salted, Accompaniment For Meals, Curries",80 g,₹79.9,₹85,Get it for ₹75.91!,6% OFF
Fresho,"Dry Fish Prawns - Big, Ready To Cook, For Curries, Salads, Sandwiches",80 g,₹118.75,₹125,Get it for ₹112.81!,₹6 OFF
Fresho,"Dry Fish Prawns - Big Cut & Clean, Ready To Cook, For Curries, Salads, Sandwiches",80 g,₹225.6,₹240,Get it for ₹214.32!,₹14 OFF
Fresho,"EGG- 10 Farm Fresh - No antibiotics,hormone, steroids - All Natural",10 pcs,₹93,No Product Price,No Product Sale Price,No Discount
Fresho,"Desi Rohu Fish Steak - Fresh & Juicy, Marinated, Ready To Cook",250 g - (2- 3 pcs approx.),₹139,₹260,Har Din Sasta!,47% OFF
Farm Made,Free Range Eggs,24 pcs,₹569,No Product Price,No Product Sale Price,No Discount
Fresho,Chicken Breast - Boneless,1 kg,₹590.4,No Product Price,No Product Sale Price,No Discount
SKM BEST,"Plus Egg Veg Feed, No Bad Odour",12 pcs - Pouch,₹156,No Product Price,No Product Sale Price,No Discount
Eggoz,"White Farm Fresh Eggs - Omega 3 Rich With No DDGS, Hormone & Steroids",10 pcs,₹121.5,₹135,No Product Sale Price,₹14 OFF
Fresho,"Chicken - Biryani Cut, Soft & Tender, 10 To 12 pcs",500 g,₹169,₹270,No Product Sale Price,37% OFF
Fresho,"Farm Eggs - Brown, Medium, Antibiotic Residue-Free",10 pcs,₹121,₹250,No Product Sale Price,52% OFF
UPF,"Healthy Brown Eggs - Large, Rich In Protein, Great For Bones",30 pcs,₹430,No Product Price,No Product Sale Price,No Discount
Fresho,"Mutton - Curry Cut, Antibiotic Residue-Free, Growth Hormone-Free, 7 To 9 pcs",250 g,₹239,₹380,No Product Sale Price,37% OFF
Best Buy,"Eggs - Wholesome, Rich In Protein, Vitamins & Amino Acids",30 pcs,₹300,No Product Price,No Product Sale Price,No Discount
Ayur Plus,Eggs,6 pcs,₹75,No Product Price,No Product Sale Price,No Discount
UPF,The Good Eggs Cage Free Eggs,6 pcs,₹129,No Product Price,No Product Sale Price,No Discount
Fresho,"Chicken Liver - Antibiotic Residue-Free, 6-8 pcs",250 g,₹39,₹64,No Product Sale Price,39% OFF
