Product Brand Name,Product Name,Product Quantity,Product Offered Price,Product Original Price,Product Sale Price,Product Discount
Fresho,Pure Ghee/Tuppa,500 ml,₹369,₹410,No Product Sale Price,₹41 OFF
Aashirvaad,Atta/Godihittu - Whole Wheat,10 kg,₹436.79,₹540,Get it for ₹414.95!,19% OFF
BB Gooddiet,Sugar - Low GI,2x500 g - Multipack,₹110,₹140,No Product Sale Price,21% OFF
Nandini,Pure Ghee,2 x 500 ml - Multipack,₹642.55,₹650,No Product Sale Price,₹7 OFF
BB Royal,Toor Dal/Togari Bele - Desi,1 kg - Pouch,₹204,₹250,Get it for ₹193.80!,18% OFF
Tata Sampann,Unpolished Toor Dal/Arhar Dal,5 kg,₹1137.87,₹1345,No Product Sale Price,15% OFF
BB Popular,Desi White Ghee,200 ml,₹120,No Product Price,No Product Sale Price,No Discount
Sunpure,Refined Sunflower Oil,3 x 1 L - Multipack,₹328.5,₹390,No Product Sale Price,16% OFF
Fortune,Sunlite Sunflower Refined Oil,3x910 g - Multipack,₹348,₹420,No Product Sale Price,17% OFF
Fresho,Pure Desi Cow Ghee,1 L - Jar,₹739,₹895,Get it for ₹702.05!,17% OFF
BB Royal,Cumin/Jeera/Jeerige - Whole,1 kg,₹433,₹1200,No Product Sale Price,64% OFF
GRB,Ghee - Cow,50 ml - Jar,₹50.12,₹55,No Product Sale Price,9% OFF
BB Popular,Cashew/Godambi - Whole,1 kg,₹822,₹1500,Get it for ₹780.90!,45% OFF
Aashirvaad,"Select Sharbati Atta - Rich In Nutrients, For Soft & Fluffy Roti",10 kg,₹504,₹600,No Product Sale Price,16% OFF
Fresho Organic,"A2 Desi Cow Ghee - 100% Pure & Natural, Antioxidant Rich",500 ml,₹699,₹1500,No Product Sale Price,53% OFF
BB Popular,Peanuts/Kadalekayi - Raw,200 g - Pouch,₹34,₹47,No Product Sale Price,28% OFF
Madhur,"Sugar - Pure & Hygienic, Fine Grain, Natural, Sulphur Free",1 kg,₹54.66,₹65,Get it for ₹51.93!,16% OFF
BB Popular,Urad Dal/Uddina Bele - Split,1 kg - Pouch,₹149,₹210,Get it for ₹141.55!,29% OFF
BB Popular,Sona masoori Raw Rice ( 6 + Months  Old),26 kg - (6 + Months Old),₹1799,₹2080,No Product Sale Price,14% OFF
BB Royal,Sooji/Bombay Rava,500 g - Pouch,₹29,₹33,No Product Sale Price,12% OFF
Tata Salt,Vacuum Evaporated Iodised Salt - Helps Mental Development,1 kg - Pouch,₹26,₹30,Har Din Sasta!,13% OFF
Dhara,Refined - Sunflower Oil,3x1 L - Multipack,₹342.72,₹420,No Product Sale Price,18% OFF
BB Royal,Fried Gram/Huri Kadale,1 kg - Pouch,₹133,₹180,Get it for ₹126.35!,26% OFF
Aashirvaad,Atta with Multigrains - High Fibre,10 kg,₹546,₹650,No Product Sale Price,16% OFF
Tata Sampann,Moong Dal/Hesaru Bele,1 kg - Pouch,₹175,₹209,Get it for ₹166.25!,16% OFF
BB Popular,Sugar/Sakkare,5 kg,₹250,₹300,No Product Sale Price,17% OFF
Idhayam,Oil - Gingelly,1 L - Pouch,₹461,₹471,Har Din Sasta!,₹10 OFF
BB Royal,Organic - Almond/Badam,500 g,₹508,₹675,No Product Sale Price,25% OFF
BB Popular,"Almond/Badam - Californian, Giri",1 kg - Pouch,₹703.5,₹1200,Get it for ₹668.33!,41% OFF
BB Royal,Refined Sugar (Sulphurless)/Sakkare,2 kg,₹98,₹120,No Product Sale Price,18% OFF
BB Royal,Bullet Raw Rice,10 kg,₹762,₹900,No Product Sale Price,15% OFF
Parry's,White Label Sugar,5 Kg - Sulphur Free Process,₹264.5,₹300,No Product Sale Price,12% OFF
Fortune,Sunlite - Refined Sunflower Oil,2 L - Pet Bottle,₹263.61,₹350,No Product Sale Price,25% OFF
