Product Brand Name,Product Name,Product Quantity,Product Offered Price,Product Original Price,Product Sale Price,Product Discount
Fresho,Carrot - Red,500 g,₹12,₹25,Har Din Sasta!,52% OFF
Fresho,Onion,5 kg - Multipack,₹145,₹267.1,No Product Sale Price,46% OFF
Fresho,Pomegranate (Loose),1 kg,₹175,₹239.73,No Product Sale Price,27% OFF
Fresho,Potato,2 kg,₹35.7,₹70,Har Din Sasta!,49% OFF
Fresho,Tomato - Local (Loose),1 kg,₹25,₹35.62,Get it for ₹23.75!,30% OFF
Fresho,Carrot - Orange (Loose),250 g,₹5,₹17.12,Har Din Sasta!,71% OFF
Fresho,Frozen Green Peas,500 g - Pouch,₹99,₹135,No Product Sale Price,27% OFF
Fresho,Banana - Yelakki,500 g,₹28,₹54.79,Har Din Sasta!,49% OFF
Fresho,Pomegranate - Regular (Loose),1 kg - (5-6 pcs per kg),₹142,₹236.99,Get it for ₹134.90!,40% OFF
Fresho,Frozen Sweet Corn,1 kg - Pouch,₹145,₹200,Get it for ₹137.75!,28% OFF
Fresho,Beans - Haricot (Loose),250 g,₹19.5,₹45.89,Har Din Sasta!,58% OFF
Fresho,Capsicum - Green (Loose),1 kg,₹50,₹108.22,Har Din Sasta!,54% OFF
Fresho,Tomato - Hybrid (Loose),500 g,₹14.5,₹31.51,Get it for ₹13.78!,54% OFF
Fresho,Coriander Leaves,1 kg,₹45.5,₹100,Har Din Sasta!,55% OFF
Fresho,Tender Coconut,1 pc,₹37,₹56.16,Get it for ₹35.15!,34% OFF
Fresho,Cucumber,250 g,₹10,₹23.29,Har Din Sasta!,57% OFF
Fresho,Cauliflower,1 pc - (approx. 400 to 600 g),₹35,₹47.95,Get it for ₹33.25!,27% OFF
Fresho,Beetroot (Loose),250 g,₹15,₹31.51,Get it for ₹14.25!,52% OFF
Fresho,Ladies' Fingers (Loose),1 kg,₹36,₹102.74,Get it for ₹34.20!,65% OFF
Fresho,Broccoli,1 pc - (Approx. 250g-500g),₹31,₹50.68,Get it for ₹29.45!,39% OFF
Fresho,Garlic (Loose),500 g,₹255,₹349.32,No Product Sale Price,27% OFF
Fresho,"Palak - Cleaned, without roots",1 kg,₹29,₹39.73,No Product Sale Price,27% OFF
Fresho,Mushrooms - Button,1 pack - (Approx. 180g - 200 g),₹47.5,₹83,Get it for ₹45.13!,43% OFF
Fresho,Coconut - Medium,1 pc - (approx. 450g to 500),₹30,₹43,Get it for ₹28.50!,30% OFF
Fresho,Cucumber - English (Loose),1 kg,₹38,₹69.86,Get it for ₹36.10!,46% OFF
Fresho,"Chilli - Green, Organically Grown",500 g,₹63,₹86.3,No Product Sale Price,27% OFF
Fresho,Premium Banana - Robusta,500 g,₹23,₹39.73,Har Din Sasta!,42% OFF
Fresho,Ginger (Loose),500 g,₹78,₹106.85,Get it for ₹74.10!,27% OFF
Fresho,Apple - Royal Gala Economy,4 pcs - (Approx.450 g-500 g),₹159,₹221.92,Get it for ₹151.05!,28% OFF
Fresho,Cabbage (Loose),1 pc - (approx. 500 g to 800 g),₹38,₹54.79,Get it for ₹36.10!,31% OFF
Fresho,Green Peas (Loose),1 kg,₹69,₹94.52,No Product Sale Price,27% OFF
Fresho,Papaya,1 kg,₹57,₹78.08,Get it for ₹54.15!,27% OFF
Fresho,"Pear - Green, Imported",2x4 pcs - Multipack,₹310.98,₹426,No Product Sale Price,27% OFF
Fresho,Baby Apple Shimla,1 kg - (Approx. 11-12 pcs),₹196,₹268.49,Get it for ₹186.20!,27% OFF
Fresho,Banana - Nendran,1 kg,₹52,₹71.23,Get it for ₹49.40!,27% OFF
