Product Brand Name,Product Name,Product Quantity,Product Offered Price,Product Original Price,Product Sale Price,Product Discount
BB Home,Stainless Steel Flat Bottom Tope - Size 11,1.5 l,₹149,₹240,No Product Sale Price,38% OFF
Pedigree,"Dry Pet Food - For Adult Dogs, Chicken & Vegetables",15 kg,₹2686,₹3160,No Product Sale Price,15% OFF
Baygon,"Mosquito Killer Racquet - Rechargeable, With LED Light, Black & Green",1 pc,₹575,No Product Price,No Product Sale Price,No Discount
Whiskas,"Wet Cat Food - Adult, +1 year, Tuna In Jelly, For Balanced Nutrition & Shiny Coat",85 g - (Pack of 12),₹552,₹600,Get it for ₹524.40!,₹48 OFF
Pedigree,Adult Gravy Dog Food - Chicken & Liver Chunks In Gravy,70 g - (Pack of 15),₹577.5,₹750,No Product Sale Price,23% OFF
Pedigree,"Dry Dog Food - Chicken & Milk, For Puppy",3 kg,₹586.5,₹690,No Product Sale Price,15% OFF
BB Home,Induction Bottom Stainless Steel Saucepan - Size 10,1.1 L,₹229,₹345,No Product Sale Price,34% OFF
Duracell,Ultra Alkaline AA Batteries,4 pcs,₹157,₹190,Har Din Sasta!,17% OFF
Purepet,Clumping Lavender Fragrance Cat Litter For Multiple Cat,10 kg,₹530.1,₹570,Get it for ₹503.60!,₹40 OFF
BB Home,Induction Bottom Stainless Steel Idli Cooker/Casserole - 20 cm,3 L,₹699,₹1400,No Product Sale Price,50% OFF
Chappi,Adult Dry Dog Food - Chicken & Rice,20 kg,₹2821,₹3100,Get it for ₹2679.95!,₹279 OFF
Pedigree,"Dry Pet Food - For Adult Dogs, Meat & Rice",3 kg,₹616.25,₹725,No Product Sale Price,15% OFF
Drools,Optimum Performance Adult Dog Dry Food,20 kg,₹2883,₹3100,Get it for ₹2738.85!,₹217 OFF
Hawkins,"Stainless Steel Inner Lid Pressure Cooker - Induction Base, With Handle, Silver, HSS3W",3 l,₹2999,₹3150,Get it for ₹2849.05!,₹151 OFF
BB Home,Wooden Spatula & Turner Set - 30cm,2 pcs,₹99,₹199,No Product Sale Price,50% OFF
NATURES PLUS,Pot Mix,5 kg,₹145,₹150,Get it for ₹137.75!,₹5 OFF
Whiskas,"Dry Cat Food - Ocean Fish Flavour, For Adult Cats, +1 Year",7 kg,₹2065.5,₹2430,No Product Sale Price,15% OFF
Whiskas,"Dry Cat Food - Junior Ocean Fish, For Kittens, 2-12 Months",1.1 kg,₹378.25,₹445,No Product Sale Price,15% OFF
BB Home Earth,"Tea/ Coffee Mug With Lid/ Coaster, Hand Crafted Ceramic Wave Blue",180 ml,₹99,₹199,Get it for ₹94.05!,50% OFF
Prestige,Deluxe Alpha Svachh Stainless Steel Spillage Control Pressure Cooker - Silver,3 l,₹2349,₹2920,Get it for ₹2231.55!,20% OFF
Whiskas,"Wet Cat Food - Kitten, 2-12 Months, Chicken In Gravy, Shiny Coat",6 x 85 g - Multipack,₹220.8,₹240,No Product Sale Price,₹19 OFF
