Product Brand Name,Product Name,Product Quantity,Product Offered Price,Product Original Price,Product Sale Price,Product Discount
Nicotex,"Nicotine Chewing Gum - Paan Flavour, Sugar Free, Helps Quit Smoking, 2 mg",12 pcs,₹121,No Product Price,No Product Sale Price,No Discount
Cricket,"Pocket Cigarette Lighter - Original, Disposable, Assorted Colour",1 pc,₹89,₹90,Har Din Sasta!,1% OFF
Cricket,"Pocket Cigarette Lighter - Mini, Disposable, Assorted Colour",1 pc,₹79,₹80,Har Din Sasta!,1% OFF
Alfandi,"Charcoal Magic Coal Quick Light Charcoal, Hookahs Coal, Magic Polo Coal For Sheesha",1 pc - (Set of 10),₹99,No Product Price,No Product Sale Price,No Discount
Ascension,"Herbal Holi Color/Gulal - Orange, Skin Friendly, Non-Toxic, For Festive Use",100 g - Pouch,₹120,No Product Price,No Product Sale Price,No Discount
Ascension,"Herbal Holi Color/Gulal - Pink, Skin Friendly, Non-Toxic, For Festive Use",100 g - Pouch,₹59,₹120,No Product Sale Price,51% OFF
Ascension,"Herbal Holi Color/Gulal - Green, Skin Friendly, Non-Toxic, For Festive Use",100 g - Pouch,₹59,₹120,No Product Sale Price,51% OFF
Nicotex,"Nicotine Chewing Gum - Mint Plus Flavour, Sugar Free, Helps Quit Smoking, 2mg",29 pcs,₹284,No Product Price,No Product Sale Price,No Discount
Cricket,"Pocket Cigarette Lighter - Mini, Fluorescent, Disposable, Assorted Colour",1 pc,₹49,₹50,Har Din Sasta!,2% OFF
Cricket,"Pocket Cigarette Lighter - Original Fusion, Disposable, Assorted Colour",1 pc,₹59,₹60,Har Din Sasta!,2% OFF
CS,Bottle Opener Silver,1 pc,₹120,No Product Price,No Product Sale Price,No Discount
Fifa MYA,Hookah Flavours Pineapple,80 g,₹120,No Product Price,No Product Sale Price,No Discount
CS,Hookah Pot Multicolor,1 pc,₹999,No Product Price,No Product Sale Price,No Discount
Fifa MYA,Hookah Flavours Misbah,80 g,₹120,No Product Price,No Product Sale Price,No Discount
Fifa MYA,Hookah Flavours - Chocolate,80 g,₹120,No Product Price,No Product Sale Price,No Discount
CS,Hookah Filter Pipe,1 pc,₹60,No Product Price,No Product Sale Price,No Discount
Fifa MYA,Hookah Flavours Mango Ice,80 g,₹120,No Product Price,No Product Sale Price,No Discount
COCOYAYA,Hookah Foil 50 Count,1 pc,₹99,No Product Price,No Product Sale Price,No Discount
Fifa MYA,Hookah Flavours Lychee,80 g,₹120,No Product Price,No Product Sale Price,No Discount
CS,Cork Wine Bottle Opener,1 pc,₹149,No Product Price,No Product Sale Price,No Discount
